ID,Marital,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Range,Purchased Bike
24466,Married,Female,"$60,000.00",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Adolesent,Yes
29097,Single,Female,"$40,000.00",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Old Age,Yes
19487,Married,Male,"$30,000.00",2,Partial College,Clerical,No,2,0-1 Miles,Europe,42,Adolesent,No
14939,Single,Male,"$40,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Adolesent,Yes
13826,Single,Female,"$30,000.00",0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,Adolesent,No
20619,Single,Male,"$80,000.00",0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,Adolesent,No
12558,Married,Female,"$20,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Old Age,No
24871,Single,Female,"$90,000.00",4,High School,Management,No,3,5-10 Miles,Europe,56,Old Age,No
17319,Single,Female,"$70,000.00",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,Adolesent,No
28906,Married,Male,"$80,000.00",4,High School,Professional,Yes,2,10+ Miles,Europe,54,Old Age,No
12808,Married,Male,"$40,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Adolesent,Yes
20567,Married,Male,"$130,000.00",4,Partial College,Professional,No,4,5-10 Miles,Europe,61,Old Age,Yes
25502,Married,Female,"$40,000.00",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Adolesent,Yes
15580,Married,Male,"$60,000.00",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,Adolesent,Yes
24185,Single,Female,"$10,000.00",1,High School,Manual,No,1,1-2 Miles,Europe,45,Adolesent,No
19291,Single,Female,"$10,000.00",2,High School,Manual,Yes,0,0-1 Miles,Europe,35,Adolesent,No
16713,Married,Male,"$40,000.00",2,Bachelors,Management,Yes,1,0-1 Miles,Pacific,52,Old Age,Yes
16185,Single,Male,"$60,000.00",4,Bachelors,Professional,Yes,3,10+ Miles,Pacific,41,Adolesent,No
14927,Married,Female,"$30,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Adolesent,Yes
29337,Single,Male,"$30,000.00",2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,68,Old Age,No
29355,Married,Female,"$40,000.00",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Adolesent,Yes
25303,Single,Male,"$30,000.00",0,High School,Manual,Yes,1,2-5 Miles,Europe,33,Adolesent,Yes
14813,Single,Female,"$20,000.00",4,High School,Manual,Yes,1,0-1 Miles,Europe,43,Adolesent,Yes
16438,Married,Female,"$10,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,Adolesent,No
14238,Married,Male,"$120,000.00",0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,36,Adolesent,Yes
16200,Single,Female,"$10,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,Adolesent,No
24857,Married,Female,"$130,000.00",3,High School,Professional,Yes,4,0-1 Miles,Europe,52,Old Age,No
26956,Single,Female,"$20,000.00",0,Partial College,Manual,No,1,2-5 Miles,Europe,36,Adolesent,Yes
14517,Married,Female,"$20,000.00",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,Old Age,No
12678,Single,Female,"$130,000.00",4,High School,Management,Yes,4,0-1 Miles,Pacific,31,Adolesent,No
16188,Single,Female,"$20,000.00",0,Partial High School,Manual,No,2,1-2 Miles,Europe,26,Adolesent,No
27969,Married,Male,"$80,000.00",0,Bachelors,Professional,Yes,2,10+ Miles,Pacific,29,Adolesent,Yes
15752,Married,Male,"$80,000.00",2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Adolesent,Yes
27745,Single,Male,"$40,000.00",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,63,Old Age,Yes
20828,Married,Female,"$30,000.00",4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Adolesent,Yes
19461,Single,Female,"$10,000.00",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Adolesent,No
26941,Married,Male,"$30,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Adolesent,Yes
28412,Single,Male,"$20,000.00",0,High School,Manual,No,1,2-5 Miles,Europe,29,Adolesent,No
24485,Single,Male,"$40,000.00",2,Bachelors,Management,No,1,5-10 Miles,Pacific,52,Old Age,Yes
16514,Single,Male,"$10,000.00",0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Adolesent,Yes
17191,Single,Male,"$130,000.00",3,Partial College,Professional,No,3,0-1 Miles,Europe,51,Old Age,Yes
19608,Married,Male,"$80,000.00",5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,Adolesent,No
24119,Single,Male,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,Adolesent,No
25458,Married,Male,"$20,000.00",1,High School,Manual,No,1,1-2 Miles,Europe,40,Adolesent,Yes
26886,Single,Female,"$30,000.00",0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Adolesent,Yes
28436,Single,Male,"$30,000.00",0,Partial College,Clerical,No,1,0-1 Miles,Europe,30,Adolesent,Yes
19562,Single,Female,"$60,000.00",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Adolesent,Yes
15608,Single,Female,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,33,Adolesent,No
16487,Single,Female,"$30,000.00",3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,Old Age,No
17197,Single,Female,"$90,000.00",5,Partial College,Professional,Yes,2,10+ Miles,Europe,62,Old Age,No
12507,Married,Male,"$30,000.00",1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,Adolesent,No
23940,Married,Male,"$40,000.00",1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,44,Adolesent,Yes
19441,Married,Male,"$40,000.00",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,25,Adolesent,Yes
26852,Married,Female,"$20,000.00",3,High School,Manual,Yes,2,0-1 Miles,Europe,43,Adolesent,No
12274,Single,Male,"$10,000.00",2,High School,Manual,Yes,0,0-1 Miles,Europe,35,Adolesent,No
20236,Single,Male,"$60,000.00",3,Bachelors,Professional,No,2,0-1 Miles,Pacific,43,Adolesent,Yes
24149,Married,Male,"$10,000.00",2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,Adolesent,No
26139,Single,Male,"$60,000.00",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,Adolesent,No
18491,Single,Female,"$70,000.00",2,High School,Professional,Yes,2,5-10 Miles,Pacific,49,Adolesent,Yes
22707,Single,Female,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,Adolesent,No
20430,Married,Male,"$70,000.00",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Old Age,Yes
27494,Single,Female,"$40,000.00",2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,53,Old Age,Yes
26829,Married,Female,"$40,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Adolesent,Yes
28395,Single,Male,"$40,000.00",0,Bachelors,Professional,No,0,0-1 Miles,Europe,39,Adolesent,Yes
21006,Single,Female,"$30,000.00",1,Partial College,Manual,No,0,0-1 Miles,Europe,46,Adolesent,Yes
14682,Single,Female,"$70,000.00",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,Adolesent,No
17650,Single,Female,"$40,000.00",2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,35,Adolesent,No
29191,Single,Female,"$130,000.00",1,Graduate Degree,Management,No,1,0-1 Miles,Pacific,36,Adolesent,Yes
15030,Married,Male,"$20,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,26,Adolesent,Yes
24140,Single,Male,"$10,000.00",0,Graduate Degree,Manual,No,0,0-1 Miles,Europe,30,Adolesent,Yes
22496,Married,Female,"$30,000.00",1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,42,Adolesent,No
24065,Single,Female,"$20,000.00",0,High School,Manual,Yes,0,0-1 Miles,Europe,40,Adolesent,Yes
19914,Married,Male,"$80,000.00",5,Bachelors,Management,Yes,2,2-5 Miles,Europe,62,Old Age,No
12871,Single,Female,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,Adolesent,No
22988,Married,Female,"$40,000.00",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Old Age,Yes
15922,Married,Male,"$150,000.00",2,High School,Professional,Yes,4,0-1 Miles,Europe,48,Adolesent,No
12344,Single,Female,"$80,000.00",0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,Adolesent,No
23627,Single,Female,"$100,000.00",3,Partial College,Management,No,4,5-10 Miles,Europe,56,Old Age,No
27775,Single,Female,"$40,000.00",0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Adolesent,Yes
29301,Married,Male,"$80,000.00",5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,Adolesent,No
12716,Single,Male,"$30,000.00",0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,Adolesent,No
12472,Married,Male,"$30,000.00",1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,Adolesent,No
20970,Single,Male,"$10,000.00",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,52,Old Age,Yes
26818,Single,Male,"$10,000.00",3,High School,Manual,Yes,1,0-1 Miles,Europe,39,Adolesent,Yes
12993,Married,Male,"$60,000.00",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Adolesent,No
14192,Married,Male,"$90,000.00",4,High School,Management,Yes,3,5-10 Miles,Europe,56,Old Age,Yes
19477,Married,Male,"$40,000.00",0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,Adolesent,Yes
26796,Single,Male,"$40,000.00",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Old Age,Yes
21094,Single,Female,"$30,000.00",2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,Adolesent,No
12234,Married,Male,"$10,000.00",2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,Old Age,No
28683,Single,Female,"$10,000.00",1,High School,Manual,No,1,5-10 Miles,Europe,35,Adolesent,Yes
17994,Single,Male,"$20,000.00",2,High School,Manual,Yes,2,0-1 Miles,Europe,42,Adolesent,No
24273,Married,Female,"$20,000.00",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Old Age,Yes
26547,Single,Female,"$30,000.00",2,Partial College,Clerical,No,2,5-10 Miles,Pacific,60,Old Age,Yes
22500,Single,Male,"$40,000.00",0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Adolesent,Yes
23993,Single,Female,"$10,000.00",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolesent,Yes
14832,Married,Male,"$40,000.00",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Adolesent,Yes
16614,Married,Female,"$80,000.00",0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,Adolesent,No
20877,Single,Male,"$30,000.00",1,Bachelors,Clerical,Yes,0,1-2 Miles,Europe,37,Adolesent,Yes
20729,Married,Female,"$40,000.00",2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,Adolesent,No
22464,Married,Male,"$40,000.00",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Adolesent,Yes
19475,Married,Female,"$40,000.00",0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Adolesent,Yes
19675,Married,Male,"$20,000.00",4,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,60,Old Age,No
12728,Single,Male,"$30,000.00",0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,Adolesent,No
26154,Married,Male,"$60,000.00",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,43,Adolesent,Yes
29117,Single,Male,"$100,000.00",1,Bachelors,Management,No,3,0-1 Miles,Pacific,48,Adolesent,No
17845,Single,Female,"$20,000.00",0,Partial High School,Manual,No,2,1-2 Miles,Europe,32,Adolesent,No
25058,Married,Male,"$100,000.00",1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47,Adolesent,No
23426,Single,Male,"$80,000.00",5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,Adolesent,No
14798,Single,Female,"$10,000.00",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,Adolesent,Yes
12664,Married,Female,"$130,000.00",5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,Old Age,No
23979,Single,Male,"$10,000.00",2,Partial College,Manual,No,0,0-1 Miles,Europe,50,Adolesent,No
25605,Single,Female,"$20,000.00",2,Partial College,Manual,No,1,0-1 Miles,Europe,54,Old Age,Yes
20797,Married,Female,"$10,000.00",1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,Adolesent,No
21980,Single,Female,"$60,000.00",1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,44,Adolesent,Yes
25460,Married,Female,"$20,000.00",2,High School,Manual,Yes,0,0-1 Miles,Europe,40,Adolesent,Yes
29181,Single,Female,"$60,000.00",2,Bachelors,Professional,No,1,0-1 Miles,Pacific,38,Adolesent,Yes
24279,Single,Male,"$40,000.00",2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,52,Old Age,No
22402,Married,Male,"$10,000.00",0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,25,Adolesent,Yes
15465,Married,Female,"$10,000.00",0,Partial College,Manual,No,1,0-1 Miles,Pacific,25,Adolesent,No
26757,Single,Male,"$90,000.00",1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Adolesent,Yes
14233,Single,Male,"$100,000.00",0,High School,Management,Yes,3,10+ Miles,Pacific,35,Adolesent,No
14058,Single,Male,"$70,000.00",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,Adolesent,Yes
12273,Married,Male,"$30,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Adolesent,No
17203,Married,Female,"$130,000.00",4,Partial College,Professional,Yes,4,5-10 Miles,Europe,61,Old Age,Yes
18144,Married,Female,"$80,000.00",5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61,Old Age,No
23963,Married,Male,"$10,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,33,Adolesent,No
17907,Married,Female,"$10,000.00",0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,27,Adolesent,No
19442,Single,Male,"$50,000.00",0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,37,Adolesent,Yes
17504,Single,Female,"$80,000.00",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Old Age,Yes
12253,Single,Female,"$20,000.00",0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,29,Adolesent,Yes
27304,Single,Female,"$110,000.00",2,Partial College,Professional,No,3,5-10 Miles,Europe,48,Adolesent,No
14191,Married,Male,"$160,000.00",4,Partial College,Professional,No,2,10+ Miles,Europe,55,Old Age,Yes
12212,Married,Female,"$10,000.00",0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Adolesent,Yes
25529,Single,Male,"$10,000.00",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,Adolesent,No
22170,Married,Female,"$30,000.00",3,Partial College,Clerical,No,2,1-2 Miles,Pacific,55,Old Age,Yes
19445,Married,Female,"$10,000.00",2,High School,Manual,No,1,0-1 Miles,Europe,38,Adolesent,No
15265,Single,Male,"$40,000.00",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Old Age,Yes
28918,Married,Female,"$130,000.00",4,High School,Management,No,4,10+ Miles,Europe,58,Old Age,No
15799,Married,Female,"$90,000.00",1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Adolesent,Yes
11047,Married,Female,"$30,000.00",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,56,Old Age,Yes
18151,Single,Male,"$80,000.00",5,Partial College,Professional,No,2,10+ Miles,Europe,59,Old Age,No
20606,Married,Female,"$70,000.00",0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,32,Adolesent,Yes
19482,Married,Male,"$30,000.00",1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,44,Adolesent,Yes
16489,Married,Male,"$30,000.00",3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,Old Age,No
26944,Single,Male,"$90,000.00",2,High School,Manual,Yes,0,0-1 Miles,Europe,36,Adolesent,Yes
15682,Single,Female,"$80,000.00",5,Bachelors,Management,Yes,2,10+ Miles,Europe,62,Old Age,No
26032,Married,Female,"$70,000.00",5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,41,Adolesent,No
17843,Single,Female,"$10,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Adolesent,No
25559,Single,Male,"$20,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,25,Adolesent,Yes
16209,Single,Female,"$50,000.00",0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,Europe,36,Adolesent,No
11147,Married,Male,"$60,000.00",2,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,67,Old Age,Yes
15214,Single,Female,"$100,000.00",0,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39,Adolesent,Yes
11453,Single,Male,"$80,000.00",0,Bachelors,Professional,No,3,10+ Miles,Pacific,33,Adolesent,Yes
24584,Single,Male,"$60,000.00",0,Bachelors,Professional,No,3,2-5 Miles,Pacific,31,Adolesent,No
12585,Married,Male,"$10,000.00",1,High School,Manual,Yes,0,2-5 Miles,Pacific,27,Adolesent,Yes
18626,Single,Male,"$40,000.00",2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,33,Adolesent,Yes
29298,Single,Female,"$60,000.00",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Adolesent,Yes
24842,Single,Female,"$90,000.00",3,High School,Professional,No,1,2-5 Miles,Europe,51,Old Age,No
15657,Married,Male,"$30,000.00",3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,Adolesent,Yes
11415,Single,Male,"$90,000.00",5,Partial College,Professional,No,2,10+ Miles,Europe,62,Old Age,No
28729,Single,Female,"$20,000.00",0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,26,Adolesent,Yes
22633,Single,Female,"$40,000.00",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Adolesent,Yes
25649,Single,Female,"$30,000.00",3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,42,Adolesent,Yes
14669,Married,Female,"$80,000.00",4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,Adolesent,No
19299,Married,Female,"$50,000.00",0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Adolesent,Yes
20946,Single,Female,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,Adolesent,No
11451,Single,Male,"$70,000.00",0,Bachelors,Professional,No,4,10+ Miles,Pacific,31,Adolesent,Yes
25553,Married,Male,"$30,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Old Age,Yes
27951,Single,Male,"$80,000.00",4,Partial College,Professional,No,2,2-5 Miles,Europe,54,Old Age,Yes
25026,Married,Male,"$20,000.00",2,Partial High School,Clerical,Yes,3,5-10 Miles,Pacific,54,Old Age,No
13673,Single,Female,"$20,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,25,Adolesent,No
16043,Single,Male,"$10,000.00",1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,Adolesent,No
22399,Single,Male,"$10,000.00",0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Adolesent,Yes
27696,Married,Male,"$60,000.00",1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,43,Adolesent,Yes
25313,Single,Male,"$10,000.00",0,Partial High School,Manual,No,2,1-2 Miles,Europe,35,Adolesent,No
13813,Married,Female,"$30,000.00",3,Partial College,Clerical,No,0,0-1 Miles,Europe,42,Adolesent,No
18711,Single,Female,"$70,000.00",5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,39,Adolesent,No
19650,Married,Female,"$30,000.00",2,Partial College,Clerical,No,2,0-1 Miles,Pacific,67,Old Age,No
14135,Married,Male,"$20,000.00",1,Partial College,Manual,Yes,0,1-2 Miles,Europe,35,Adolesent,No
12833,Single,Female,"$20,000.00",3,High School,Manual,Yes,1,0-1 Miles,Europe,42,Adolesent,Yes
26849,Married,Male,"$10,000.00",3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,Adolesent,No
20962,Married,Female,"$20,000.00",1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Adolesent,No
28915,Single,Male,"$80,000.00",5,High School,Management,Yes,3,10+ Miles,Europe,57,Old Age,No
22830,Married,Male,"$120,000.00",4,Partial College,Management,Yes,3,10+ Miles,Europe,56,Old Age,No
14777,Married,Female,"$40,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Adolesent,Yes
12591,Married,Female,"$30,000.00",4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Adolesent,No
24174,Married,Male,"$20,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,27,Adolesent,Yes
24611,Single,Male,"$90,000.00",0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,Adolesent,Yes
11340,Married,Female,"$10,000.00",1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,Old Age,Yes
25693,Single,Female,"$30,000.00",5,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,Adolesent,Yes
25555,Married,Female,"$10,000.00",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolesent,Yes
22006,Married,Male,"$70,000.00",5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,46,Adolesent,No
20060,Single,Female,"$30,000.00",0,High School,Manual,No,1,2-5 Miles,Europe,34,Adolesent,Yes
17702,Married,Male,"$10,000.00",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Adolesent,No
12503,Single,Female,"$30,000.00",3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,Adolesent,No
